"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07,2021. 08,2021. 08,2021. 09,2021. 09,2021. 10,2021. 10,2021. 11,2021. 11
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"총액",소계,소계,43103061,42718100,40911819,36977247,46167204,41803860,36270183,37932611,34854511,34661974,39214071,35794860,42785144,38849185,39469231,35817929,47819948,39400190,44818534,39093795,45751883,39944763,51332449,44638246,48010586,44417731,44707234,42359998,53697341,49730914,51223975,50859663,50731099,47890038,54788067,50416696,55482859,53669305,53165397,51576204,55922495,51620907,55659220,53832893,60411630,57350539
"식품 및 산동물",소계,소계,464273,2627428,468124,2005395,545261,2262352,545869,2304002,460918,2379665,531000,2301011,542869,2413044,488529,2064751,549811,2336115,554894,2254470,610933,2212784,651441,2393576,530413,2656577,489107,2107380,664398,2790480,640415,2689527,576649,2759529,600475,2718450,624264,2711974,600148,2645420,602735,2641697,691471,2754261,751220,3021539
"식품 및 산동물",중분류 03의 동물을 제외한 산 동물,소계,190,4336,398,2828,181,8213,120,5815,195,6375,387,5098,443,4423,374,6648,465,6003,593,7112,547,6196,703,6491,550,4480,887,2462,680,7714,796,6084,778,4251,874,5430,616,5152,528,5484,587,5212,711,5373,827,7097
"식품 및 산동물",중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,190,4336,398,2828,181,8213,120,5815,195,6375,387,5098,443,4423,374,6648,465,6003,593,7112,547,6196,703,6491,550,4480,887,2462,680,7714,796,6084,778,4251,874,5430,616,5152,528,5484,587,5212,711,5373,827,7097
"식품 및 산동물",고기및 고기 조제품,소계,8896,605427,8376,368586,6904,439234,10235,429653,9857,475491,11569,374496,9919,450675,9348,423398,9910,455591,9320,422843,10814,397095,11804,376554,8438,572533,7339,397571,8907,516114,10422,476022,9354,519447,9931,535609,9409,519353,9952,577330,10893,558098,13941,570510,12343,585685
"식품 및 산동물",고기및 고기 조제품,쇠고기신선냉장 또는 냉동한 것,202,381680,151,193521,328,236296,207,237725,195,250466,312,201347,234,228761,141,240824,437,271127,134,242033,436,226020,398,186245,295,377914,139,210018,323,276113,365,256932,187,297960,94,308472,296,266444,217,328425,197,319273,272,329134,284,349636
"식품 및 산동물",고기및 고기 조제품,기타 고기 및 식용 설육신선냉장 또는 냉동한 것,6200,194712,5228,152072,2834,184019,5226,167192,5245,200789,5573,149202,5999,197524,4128,162708,4336,160278,4395,158362,4502,145449,5533,162902,3926,174529,1946,165095,3091,212898,4195,195130,3672,194929,3650,200469,2869,230154,3893,226072,4818,215721,6095,215466,4890,209528
"식품 및 산동물",고기및 고기 조제품,고기 및 실용석육염장염수장건조 또는 훈제한 것,1,1377,16,1349,6,1058,7,1083,125,1663,125,1263,1,1618,17,1714,15,1669,5,1347,62,1830,13,2128,105,1096,2,1798,32,1646,49,1851,114,1982,155,2313,1,1771,3,1104,2,1829,6,2833,5,2029
"식품 및 산동물",고기및 고기 조제품,달리 명시되지 않은 조제 또는 저장한 고기 및 설육,2493,27658,2980,21643,3736,17861,4796,23653,4292,22574,5558,22684,3685,22772,5063,18152,5121,22517,4787,21102,5814,23796,5860,25279,4112,18994,5252,20660,5462,25456,5812,22108,5381,24576,6031,24355,6244,20985,5838,21729,5876,21275,7568,23077,7165,24493
