품목별(1),품목별(2),품목별(3),항목,시점,데이터
총액,소계,소계,수출액 (천달러),2020. 01,43103061
총액,소계,소계,수출액 (천달러),2020. 02,40911819
총액,소계,소계,수출액 (천달러),2020. 03,46167204
총액,소계,소계,수출액 (천달러),2020. 04,36270183
총액,소계,소계,수출액 (천달러),2020. 05,34854511
총액,소계,소계,수출액 (천달러),2020. 06,39214071
총액,소계,소계,수출액 (천달러),2020. 07,42785144
총액,소계,소계,수출액 (천달러),2020. 08,39469231
총액,소계,소계,수출액 (천달러),2020. 09,47819948
총액,소계,소계,수출액 (천달러),2020. 10,44818534
총액,소계,소계,수출액 (천달러),2020. 11,45751883
총액,소계,소계,수출액 (천달러),2020. 12,51332449
총액,소계,소계,수출액 (천달러),2021. 01,48010586
총액,소계,소계,수출액 (천달러),2021. 02,44707234
총액,소계,소계,수출액 (천달러),2021. 03,53697341
총액,소계,소계,수출액 (천달러),2021. 04,51223975
총액,소계,소계,수출액 (천달러),2021. 05,50731099
총액,소계,소계,수출액 (천달러),2021. 06,54788067
총액,소계,소계,수출액 (천달러),2021. 07,55482859
총액,소계,소계,수출액 (천달러),2021. 08,53165397
총액,소계,소계,수출액 (천달러),2021. 09,55922495
총액,소계,소계,수출액 (천달러),2021. 10,55659220
총액,소계,소계,수출액 (천달러),2021. 11,60411630
총액,소계,소계,수입액 (천달러),2020. 01,42718100
총액,소계,소계,수입액 (천달러),2020. 02,36977247
총액,소계,소계,수입액 (천달러),2020. 03,41803860
총액,소계,소계,수입액 (천달러),2020. 04,37932611
총액,소계,소계,수입액 (천달러),2020. 05,34661974
총액,소계,소계,수입액 (천달러),2020. 06,35794860
총액,소계,소계,수입액 (천달러),2020. 07,38849185
총액,소계,소계,수입액 (천달러),2020. 08,35817929
총액,소계,소계,수입액 (천달러),2020. 09,39400190
총액,소계,소계,수입액 (천달러),2020. 10,39093795
총액,소계,소계,수입액 (천달러),2020. 11,39944763
총액,소계,소계,수입액 (천달러),2020. 12,44638246
총액,소계,소계,수입액 (천달러),2021. 01,44417731
총액,소계,소계,수입액 (천달러),2021. 02,42359998
총액,소계,소계,수입액 (천달러),2021. 03,49730914
총액,소계,소계,수입액 (천달러),2021. 04,50859663
총액,소계,소계,수입액 (천달러),2021. 05,47890038
총액,소계,소계,수입액 (천달러),2021. 06,50416696
총액,소계,소계,수입액 (천달러),2021. 07,53669305
총액,소계,소계,수입액 (천달러),2021. 08,51576204
총액,소계,소계,수입액 (천달러),2021. 09,51620907
총액,소계,소계,수입액 (천달러),2021. 10,53832893
총액,소계,소계,수입액 (천달러),2021. 11,57350539
식품 및 산동물,소계,소계,수출액 (천달러),2020. 01,464273
식품 및 산동물,소계,소계,수출액 (천달러),2020. 02,468124
식품 및 산동물,소계,소계,수출액 (천달러),2020. 03,545261
식품 및 산동물,소계,소계,수출액 (천달러),2020. 04,545869
식품 및 산동물,소계,소계,수출액 (천달러),2020. 05,460918
식품 및 산동물,소계,소계,수출액 (천달러),2020. 06,531000
식품 및 산동물,소계,소계,수출액 (천달러),2020. 07,542869
식품 및 산동물,소계,소계,수출액 (천달러),2020. 08,488529
식품 및 산동물,소계,소계,수출액 (천달러),2020. 09,549811
식품 및 산동물,소계,소계,수출액 (천달러),2020. 10,554894
식품 및 산동물,소계,소계,수출액 (천달러),2020. 11,610933
식품 및 산동물,소계,소계,수출액 (천달러),2020. 12,651441
식품 및 산동물,소계,소계,수출액 (천달러),2021. 01,530413
식품 및 산동물,소계,소계,수출액 (천달러),2021. 02,489107
식품 및 산동물,소계,소계,수출액 (천달러),2021. 03,664398
식품 및 산동물,소계,소계,수출액 (천달러),2021. 04,640415
식품 및 산동물,소계,소계,수출액 (천달러),2021. 05,576649
식품 및 산동물,소계,소계,수출액 (천달러),2021. 06,600475
식품 및 산동물,소계,소계,수출액 (천달러),2021. 07,624264
식품 및 산동물,소계,소계,수출액 (천달러),2021. 08,600148
식품 및 산동물,소계,소계,수출액 (천달러),2021. 09,602735
식품 및 산동물,소계,소계,수출액 (천달러),2021. 10,691471
식품 및 산동물,소계,소계,수출액 (천달러),2021. 11,751220
식품 및 산동물,소계,소계,수입액 (천달러),2020. 01,2627428
식품 및 산동물,소계,소계,수입액 (천달러),2020. 02,2005395
식품 및 산동물,소계,소계,수입액 (천달러),2020. 03,2262352
식품 및 산동물,소계,소계,수입액 (천달러),2020. 04,2304002
식품 및 산동물,소계,소계,수입액 (천달러),2020. 05,2379665
식품 및 산동물,소계,소계,수입액 (천달러),2020. 06,2301011
식품 및 산동물,소계,소계,수입액 (천달러),2020. 07,2413044
식품 및 산동물,소계,소계,수입액 (천달러),2020. 08,2064751
식품 및 산동물,소계,소계,수입액 (천달러),2020. 09,2336115
식품 및 산동물,소계,소계,수입액 (천달러),2020. 10,2254470
식품 및 산동물,소계,소계,수입액 (천달러),2020. 11,2212784
식품 및 산동물,소계,소계,수입액 (천달러),2020. 12,2393576
식품 및 산동물,소계,소계,수입액 (천달러),2021. 01,2656577
식품 및 산동물,소계,소계,수입액 (천달러),2021. 02,2107380
식품 및 산동물,소계,소계,수입액 (천달러),2021. 03,2790480
식품 및 산동물,소계,소계,수입액 (천달러),2021. 04,2689527
식품 및 산동물,소계,소계,수입액 (천달러),2021. 05,2759529
식품 및 산동물,소계,소계,수입액 (천달러),2021. 06,2718450
식품 및 산동물,소계,소계,수입액 (천달러),2021. 07,2711974
