의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2109706,21,방송법 일부개정법률안,정희용의원등11인,정희용,"권명호,김병욱,김영식,김용판,류성걸,송언석,정진석,최춘식,태영호,허은아",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2Y1S0F4U2Y3P1T6Y0G2M1I5Z6U4H3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W2Y1S0F4U2Y3P1T6Y0G2M1I5Z6U4H3
2109705,21,기후위기 대응과 정의로운 녹색전환을 위한 기본법안,강은미의원등10인,강은미,"김홍걸,류호정,배진교,심상정,양정숙,용혜인,이은주,장혜영,조오섭",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2R1C0Z4H2D1G1X4C5V9Z1E7R1O8Y0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2R1C0Z4H2D1G1X4C5V9Z1E7R1O8Y0
2109704,21,인터넷 멀티미디어 방송사업법 일부개정법률안,정희용의원등11인,정희용,"권명호,김병욱,김영식,김용판,류성걸,송언석,정진석,최춘식,태영호,허은아",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2N1W0P4B2G3R1J6O0G3M1H8R4A5B4&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_N2N1W0P4B2G3R1J6O0G3M1H8R4A5B4
2109703,21,지능형 사물정보통신 진흥 및 이용 활성화에 관한 법률안,한준호의원등16인,한준호,"강훈식,기동민,김병욱,김홍걸,노웅래,문진석,박정,오영환,이병훈,이수진,이용빈,이장섭,정필모,홍성국,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2D1B0G4D2N1R0T9K0W7G2U9E6C6H6&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2D1B0G4D2N1R0T9K0W7G2U9E6C6H6
2109702,21,군인사법 일부개정법률안,김민기의원 등 11인,김민기,"기동민,김성주,김진표,박성준,박완주,송재호,안규백,이재정,최종윤,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2Y1D0U3P2J3T1C4B3D4R5Y4A0S3U3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2Y1D0U3P2J3T1C4B3D4R5Y4A0S3U3
2109701,21,형사소송법 일부개정법률안,송기헌의원등11인,송기헌,"김승원,박성준,백혜련,소병철,이상헌,이해식,정일영,조응천,주철현,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2Y1P0K3C2E5R2T0L0E2O2V1O5L4F0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2Y1P0K3C2E5R2T0L0E2O2V1O5L4F0
2109700,21,문화예술진흥법 일부개정법률안,김선교의원 등 10인,김선교,"구자근,김석기,김예지,김형동,성일종,윤창현,이만희,이철규,정운천",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2O1K0L4O2I3P1Q7H1U2L2T2U5X1N7&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_E2O1K0L4O2I3P1Q7H1U2L2T2U5X1N7
2109699,21,건설산업기본법 일부개정법률안,김선교의원 등 10인,김선교,"권성동,김석기,김예지,박대수,성일종,안병길,이양수,이철규,추경호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2N1Z0E4P2T3J1A6M5E7L5G2Y3S3I6&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2N1Z0E4P2T3J1A6M5E7L5G2Y3S3I6
2109698,21,공직선거법 일부개정법률안,정청래의원등10인,정청래,"강득구,김병주,김승원,송갑석,양이원영,윤재갑,이규민,이상헌,이수진",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2A1Q0K3Z2M2Q1D4I5M2E0H8M2H3E1&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_C2A1Q0K3Z2M2Q1D4I5M2E0H8M2H3E1
2109697,21,형사소송법 일부개정법률안,전주혜의원등12인,전주혜,"김도읍,김상훈,김승수,김은혜,김태호,서범수,서병수,신원식,윤주경,정진석,추경호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2H1D0B4E2L0K1H7E1O6F0B2L0K2R6&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2H1D0B4E2L0K1H7E1O6F0B2L0K2R6
2109696,21,자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,김성원의원 등 10인,김성원,"김용판,박대수,박덕흠,배현진,정운천,최춘식,최형두,추경호,한기호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2N1U0Z4P2I3U1H5F3M9G0D1G7W4O9&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2N1U0Z4P2I3U1H5F3M9G0D1G7W4O9
2109695,21,보호관찰 등에 관한 법률 일부개정법률안,김남국의원등11인,김남국,"김병주,김승원,소병철,오영환,이규민,이용빈,이재정,장경태,전용기,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2T1C0A2N1C8N1K5E3Z1A2C6I3X3H3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2T1C0A2N1C8N1K5E3Z1A2C6I3X3H3
2109694,21,출소자 등 사회정착 지원에 관한 법률안,김남국의원 등 11인,김남국,"김병주,김승원,소병철,오영환,이규민,이용빈,이재정,장경태,전용기,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2Q1O0D2K1L8X1O5F2Q8W5L4P0L2K2&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2Q1O0D2K1L8X1O5F2Q8W5L4P0L2K2
2109693,21,고등교육법 일부개정법률안,안민석의원등11인,안민석,"강준현,김병욱,김승남,김홍걸,서동용,양경숙,이성만,이정문,조오섭,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2H1G0K2F1C9L1P5D1Z3Q5W9R7V5N0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W2H1G0K2F1C9L1P5D1Z3Q5W9R7V5N0
2109692,21,댐건설 및 주변지역지원 등에 관한 법률 일부개정법률안,임이자의원등10인,임이자,"김병욱,박대수,박덕흠,박형수,백종헌,송언석,이종배,정진석,하영제",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2U1J0T4B2E2M1T1O2N5X4Z6U5E7E2&ageFrom=21&ageTo=21,환경노동위원회,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2U1J0T4B2E2M1T1O2N5X4Z6U5E7E2
2109691,21,공직선거법 일부개정법률안,박완수의원 등 10인,박완수,"김기현,김성원,류성걸,백종헌,임이자,조경태,최형두,추경호,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2Q1X0W4Z2E3S1G4M4R2A0K6H2H6T0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2Q1X0W4Z2E3S1G4M4R2A0K6H2H6T0
2109690,21,동물보호법 일부개정법률안,어기구의원등11인,어기구,"강훈식,고용진,김병욱,김승원,노웅래,서삼석,유정주,윤준병,임종성,정춘숙",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y1S0J4M2S1I1Q5L0S0Z3D0T9G3K2&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_I2Y1S0J4M2S1I1Q5L0S0Z3D0T9G3K2
2109689,21,건강가정기본법 일부개정법률안,이수진의원등10인,이수진,"권인숙,민형배,배진교,양이원영,위성곤,유정주,이용선,이은주,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2X1C0D4D1X3M1X0D4G4E3V0A1K5F3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2X1C0D4D1X3M1X0D4G4E3V0A1K5F3
2109688,21,지방자치단체 기금관리기본법 일부개정법률안,김민철의원등13인,김민철,"김철민,김홍걸,민형배,민홍철,서영교,양향자,어기구,오영환,이용호,임오경,장철민,한병도",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2F1B0T3U1C2U2C1B5I4N1V7L1P6N0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_G2F1B0T3U1C2U2C1B5I4N1V7L1P6N0
2109687,21,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,구자근의원등12인,구자근,"곽상도,김은혜,김태호,김태흠,박대수,박덕흠,박성민,양금희,이종배,조수진,홍준표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2M1H0N4C0T8Q1H3G2W3F1F7M8H6P8&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2M1H0N4C0T8Q1H3G2W3F1F7M8H6P8
