이름,한자명,영문명칭,음/양력,생년월일,정당명,선거구,재선,당선,성별,전화번호,사무실 호실,이메일,홈페이지,보좌관,비서관,비서
김민석,金民錫,KIM MINSEOK,음,1964-05-29,더불어민주당,서울 영등포구을,3선,"제15대, 제16대, 제21대",남,02-784-2390,의원회관 506호,newkms2030@gmail.com,http://kms2030.kr,"감동은, 변정화","김민철, 장명희","이은혜, 김신명, 이진주, 김미혜, 강민구"
이영,李永,LEE YOUNG,음,1969-06-06,국민의힘,비례대표,초선,제21대,여,02-784-2174,의원회관 337호,futurekorea20@naver.com,http://blog.naver.com/futurekorea20,"권오훈, 이종태","손성민, 이혜인","이승민, 김학구, 전효수, 김영성, 홍수현"
김웅,金雄,KIM WOONG,음,1970-05-05,국민의힘,서울 송파구갑,초선,제21대,남,02-784-6084,의원회관 329호,songpawoong@naver.com,http://blog.naver.com/songpawoong,"지욱현, 현경주","박두리, 박정준","심지은, 김수한, 심윤아, 허철준, 나태선"
이용호,李容鎬,LEE YONGHO,음,1960-03-20,무소속,전북 남원시임실군순창군,재선,"제20대, 제21대",남,02-784-2570,의원회관 518호,614lyh@naver.com,http://blog.naver.com/614lyh,"양준호, 오진웅","강채영, 복일기, 이정훈","안은경, 김두희, 박진형, 안수연"
김두관,金斗官,KIM DUKWAN,음,1959-04-10,더불어민주당,경남 양산시을,재선,"제20대, 제21대",남,02-784-2566,의원회관 919호,okdkkorea@gmail.com,http://www.okdk.kr,"임근재, 홍준일","박찬규, 유승준","김경원, 구수민, 김다희, 조유천"
유기홍,柳基洪,YOO KIHONG,음,1958-06-11,더불어민주당,서울 관악구갑,3선,"제17대, 제19대, 제21대",남,02-784-7901,의원회관 1001호,yookihong1001@gmail.com,https://blog.naver.com/youngkor,전성원,"김현호, 이민희","송정아, 윤성준, 김수연, 박유림, 김효민"
용혜인,龍慧仁,YONG HYEIN,음,1990-04-12,기본소득당,비례대표,초선,제21대,여,02-784-3063,의원회관 541호,hello@yonghyein.kr,https://yonghyein.kr,"장흥배, 최승현","오준호, 이혜정","최기원, 신민주, 금동운, 오가현, 김준호"
오영훈,吳怜勳,OH YOUNGHUN,음,1968-12-14,더불어민주당,제주 제주시을,재선,"제20대, 제21대",남,02-784-5621,의원회관 731호,,,"이민언, 정원태","박병준, 이영민","오승훈, 김성빈, 김창용, 김기환, 김유라, 최유진"
이달곤,李達坤,LEE DALGON,음,1953-09-11,국민의힘,경남 창원시진해구,재선,"제18대, 제21대",남,02-784-6264~6,의원회관 616호,dalgon@na.go.kr,http://band.us/@dalgon,"안소동, 최장호","이종명, 이찬영","김성한, 윤영일, 윤희진, 유주형, 박도연"
윤재갑,尹才鉀,YOON JAEKAB,음,1955-02-10,더불어민주당,전남 해남군완도군진도군,초선,제21대,남,02-784-1460,의원회관 542호,yoonjg542@naver.com,https://url.kr/iNsVb4,"경성석, 이인구","이경식, 임현우","금용석, 홍형주, 노수균, 이우형, 황선희"
