competition,scorer,assister,time,against,side
유로파리그,28,27,2020-09-17,로코모티브 플로브디브,원정
유로파리그,10,null,2020-09-17,로코모티브 플로브디브,원정
프리미어리그,7,10,2020-09-20,사우스햄튼,원정
프리미어리그,7,10,2020-09-20,사우스햄튼,원정
프리미어리그,7,10,2020-09-20,사우스햄튼,원정
프리미어리그,7,10,2020-09-20,사우스햄튼,원정
프리미어리그,10,null,2020-09-20,사우스햄튼,원정
유로파리그,7,null,2020-09-24,슈켄디야,원정
유로파리그,10,7,2020-09-24,슈켄디야,원정
유로파리그,11,7,2020-09-24,슈켄디야,원정
프리미어리그,27,10,2020-09-27,뉴캐슬,홈
유로파리그,10,33,2020-10-01,마카비 하이파,홈
유로파리그,27,23,2020-10-01,마카비 하이파,홈
유로파리그,18,33,2020-10-01,마카비 하이파,홈
유로파리그,18,10,2020-10-01,마카비 하이파,홈
유로파리그,10,null,2020-10-01,마카비 하이파,홈
유로파리그,10,23,2020-10-01,마카비 하이파,홈
유로파리그,20,null,2020-10-01,마카비 하이파,홈
프리미어리그,7,10,2020-10-04,맨체스터 유나이티드,원정
프리미어리그,10,7,2020-10-04,맨체스터 유나이티드,원정
프리미어리그,7,24,2020-10-04,맨체스터 유나이티드,원정
프리미어리그,24,5,2020-10-04,맨체스터 유나이티드,원정
프리미어리그,10,null,2020-10-04,맨체스터 유나이티드,원정
프리미어리그,28,null,2020-10-04,맨체스터 유나이티드,원정
프리미어리그,7,10,2020-10-18,웨스트햄,홈
프리미어리그,10,7,2020-10-18,웨스트햄,홈
프리미어리그,10,3,2020-10-18,웨스트햄,홈
유로파리그,27,45,2020-10-22,LASK,홈
유로파리그,7,45,2020-10-22,LASK,홈
유로파리그,null,null,2020-10-22,LASK,홈
프리미어리그,7,10,2020-10-26,번리,원정
프리미어리그,10,null,2020-11-01,브라이튼,홈
프리미어리그,9,3,2020-11-01,브라이튼,홈
유로파리그,10,27,2020-11-05,루도고레츠,원정
유로파리그,27,10,2020-11-05,루도고레츠,원정
유로파리그,18,7,2020-11-05,루도고레츠,원정
프리미어리그,10,2,2020-11-18,웨스트 브롬,원정
프리미어리그,7,28,2020-11-21,맨시티,홈
프리미어리그,18,10,2020-11-21,맨시티,홈
유로파리그,45,null,2020-11-26,루도고레츠,홈
유로파리그,45,20,2020-11-26,루도고레츠,홈
유로파리그,8,33,2020-11-26,루도고레츠,홈
유로파리그,27,45,2020-11-26,루도고레츠,홈
유로파리그,9,null,2020-12-03,LASK,원정
유로파리그,7,28,2020-12-03,LASK,원정
유로파리그,null,null,2020-12-03,LASK,원정
프리미어리그,7,10,2020-12-06,아스날,홈
프리미어리그,10,7,2020-12-06,아스날,홈
유로파리그,45,9,2020-12-10,앤트워프,홈
유로파리그,18,10,2020-12-10,앤트워프,홈
프리미어리그,10,7,2020-12-13,크리스탈 팰리스,원정
프리미어리그,7,18,2020-12-16,리버풀,원정
리그컵,9,8,2020-12-23,스토크 시티,원정
